state,region,sun,btu_per_10k,dev_fr_median,panels_per_10k
AK,West,NA,0.013479014522290247,0.2112628623496079,0.16174817426748297
AL,South,4.56977310528337,0.004112433944029774,0.06445608948656262,0.02673082063619353
AR,South,4.4367921224077,0.013385769855781717,0.20980139533264977,0.5287379093033778
AZ,West,5.64105065057114,1.390838443293973,21.799257661622573,123.35323069118755
CA,West,5.26162637910907,1.3113370116502117,20.553194755304183,146.32044617967935
CO,West,4.83896805543977,0.4782922979598577,7.496497591843402,2.5087784685441594
CT,Northeast,3.87863917705601,0.4865156864960022,7.625386584246063,43.31946856829059
DC,NA,NA,0.2348899687302729,3.6815397037450266,32.57630253827973
DE,South,4.14231374039423,0.4201393812397263,6.585039886982506,45.20699742139455
FL,South,4.92242032698094,0.05627669777458165,0.8820508528854833,1.0386931890980975
GA,South,4.63682947568823,0.012608663645566197,0.1976214483455542,0.012608663645566197
HI,West,5.21502307262364,3.3530338656420433,52.553658936955266,4.228042703231303
IA,North Central,3.98212520681069,0.06380210119459864,1,0.20097661876298573
ID,West,4.26984866332521,0.04158893496678827,0.6518427165892321,0.04158893496678827
IL,North Central,4.06089973370679,0.010155029016433103,0.15916449186304865,0.07108520311503172
IN,North Central,4.0019074150629,0.013568412614824577,0.21266404022401147,0.8472719877257124
KS,North Central,4.61680172164462,0.02063778317188281,0.3234655722220942,0.030956674757824213
KY,South,4.14192946782686,0.015776517960213426,0.24727270207127652,0.03831440076051832
LA,South,4.65464460165599,0.3930224838764662,6.1600241452508575,0.6386615362992576
MA,Northeast,3.81398497934338,0.6077707453515447,9.525873505291349,95.1953960925626
MD,South,4.12267657792924,0.5152542688400645,8.075819748765342,17.762975390625066
ME,Northeast,3.59888754312068,0.14269845788029703,2.2365792851408095,0.465647599398864
MI,North Central,3.72430731206909,0.024173322723930583,0.37887972764723066,0.13295327498161819
MN,North Central,3.71163841383045,0.03260897920851486,0.5110956943103854,0.6630492439064688
MO,North Central,4.25476690665346,0.12309207287050714,1.9292792959133431,5.458723124897423
MS,South,4.57433399647876,0.006691814505578631,0.10488392043967898,0.16060354813388714
MT,West,3.93714310829567,0.07673713693742086,1.202736829988873,0.04796071058588804
NC,South,4.42624541876742,0.05026221105634611,0.7877830058142538,0.02562387230323527
NE,North Central,3.66980930365271,0.010487039068415346,0.16436823979244053,0.026217597671038363
NH,Northeast,3.67776476960088,0.26970433662097926,4.227201480377136,23.269490820687817
NJ,Northeast,4.01261012578617,0.548942592343939,8.603832508111996,48.29353201403012
NM,West,5.50308363681396,0.4420919599330134,6.929112860791488,28.865721775191435
NV,West,5.16422247661271,0.8605272412993213,13.487443598051467,49.686094628065156
NY,Northeast,3.7119016845691,0.2770281052862787,4.341990312220804,22.256448107697995
OH,North Central,3.89744381758706,0.01722004278664031,0.26989773791490934,1.1304958089429364
OK,South,4.71128115478171,0.0076461153528644,0.11984112136908283,0.012743525588107334
OR,West,4.27872054195723,0.16367551695201987,2.56536248630439,6.512819823792313
PA,Northeast,3.81121311778898,0.085261314587108,1.3363402300350267,7.600772420577325
RI,Northeast,3.88734747067792,0.13252229687644945,2.07708358181264,2.8586952611919814
SC,South,4.60471061565287,0.04837618287325904,0.758222409097625,0.20156742863857932
TN,South,4.28877811063702,0.03307676787055076,0.5184275635322019,0.35482350988409
TX,South,5.04071319106214,0.09044383373322429,1.4175682624835102,4.447539633421092
UT,West,4.99181157537108,0.33101546038842866,5.188159232856923,1.111032089818587
VA,South,4.23273707528488,0.02972012675515181,0.46581736649243544,0.041608177457212535
VT,Northeast,3.60360245809749,0.8165304181596366,12.797860930460429,18.0757420020045
WA,West,3.74594841001333,0.10428100987925357,1.6344447585071349,0.2181668496158068
WI,North Central,3.75084108823327,0.02768784994846599,0.4339645470925335,3.10276968484997
WV,South,3.95049920663606,0.021844768887806357,0.34238322059612186,0.4095894166463692
WY,West,4.3836048492932,0.03415878025827454,0.535386446820757,0.15371451116223542
